search01               | [2026-02-11T15:40:00,389][DEPRECATION][o.o.d.c.m.IndexNameExpressionResolver] [search01] this request accesses system indices: [.plugins-ml-task], but in a future major version, direct access to system indices will be prevented by default
search01               | [2026-02-11T15:40:01,181][INFO ][o.o.m.e.i.MLIndicesHandler] [search01] Using initIndexWithoutThreadContext method to create index: .plugins-ml-model
search01               | [2026-02-11T15:40:01,181][INFO ][o.o.r.m.c.i.LocalClusterIndicesClient] [search01] Searching [.plugins-ml-model]
search01               | [2026-02-11T15:40:01,183][INFO ][o.o.r.m.c.i.LocalClusterIndicesClient] [search01] Search returned 1 hits hits
search01               | [2026-02-11T15:40:03,662][INFO ][o.o.i.MergeSchedulerConfig] [search01] Updating autoThrottle for index top_queries-2026.02.11-95552 from [false] to [true]
search01               | [2026-02-11T15:40:03,662][INFO ][o.o.i.MergeSchedulerConfig] [search01] Updating maxThreadCount from [0] to [4] and maxMergeCount from [0] to [9] for index top_queries-2026.02.11-95552.
search01               | [2026-02-11T15:40:03,662][INFO ][o.o.i.MergeSchedulerConfig] [search01] Initialized index top_queries-2026.02.11-95552 with maxMergeCount=9, maxThreadCount=4, autoThrottleEnabled=true
search01               | [2026-02-11T15:40:03,662][INFO ][o.o.p.PluginsService     ] [search01] PluginService:onIndexModule index:[top_queries-2026.02.11-95552/NADhd1YcQ7SOPEkJ-8ZSfw]
search01               | [2026-02-11T15:40:03,673][INFO ][o.o.c.m.MetadataMappingService] [search01] [top_queries-2026.02.11-95552/NADhd1YcQ7SOPEkJ-8ZSfw] update_mapping [_doc]
search01               | [2026-02-11T15:40:03,718][INFO ][o.o.i.MergeSchedulerConfig] [search01] Updating autoThrottle for index top_queries-2026.02.11-95552 from [false] to [true]
search01               | [2026-02-11T15:40:03,718][INFO ][o.o.i.MergeSchedulerConfig] [search01] Updating maxThreadCount from [0] to [4] and maxMergeCount from [0] to [9] for index top_queries-2026.02.11-95552.
search01               | [2026-02-11T15:40:03,718][INFO ][o.o.i.MergeSchedulerConfig] [search01] Initialized index top_queries-2026.02.11-95552 with maxMergeCount=9, maxThreadCount=4, autoThrottleEnabled=true
search01               | [2026-02-11T15:40:03,719][INFO ][o.o.p.PluginsService     ] [search01] PluginService:onIndexModule index:[top_queries-2026.02.11-95552/NADhd1YcQ7SOPEkJ-8ZSfw]
search01               | [2026-02-11T15:40:03,736][INFO ][o.o.i.MergeSchedulerConfig] [search01] Updating autoThrottle for index top_queries-2026.02.11-95552 from [false] to [true]
search01               | [2026-02-11T15:40:03,736][INFO ][o.o.i.MergeSchedulerConfig] [search01] Updating maxThreadCount from [0] to [4] and maxMergeCount from [0] to [9] for index top_queries-2026.02.11-95552.
search01               | [2026-02-11T15:40:03,736][INFO ][o.o.i.MergeSchedulerConfig] [search01] Initialized index top_queries-2026.02.11-95552 with maxMergeCount=9, maxThreadCount=4, autoThrottleEnabled=true
search01               | [2026-02-11T15:40:03,737][INFO ][o.o.p.PluginsService     ] [search01] PluginService:onIndexModule index:[top_queries-2026.02.11-95552/NADhd1YcQ7SOPEkJ-8ZSfw]
search01               | [2026-02-11T15:40:03,757][INFO ][o.o.c.m.MetadataMappingService] [search01] [top_queries-2026.02.11-95552/NADhd1YcQ7SOPEkJ-8ZSfw] update_mapping [_doc]
search01               | [2026-02-11T15:40:03,797][INFO ][o.o.i.MergeSchedulerConfig] [search01] Updating autoThrottle for index top_queries-2026.02.11-95552 from [false] to [true]
search01               | [2026-02-11T15:40:03,797][INFO ][o.o.i.MergeSchedulerConfig] [search01] Updating maxThreadCount from [0] to [4] and maxMergeCount from [0] to [9] for index top_queries-2026.02.11-95552.
search01               | [2026-02-11T15:40:03,797][INFO ][o.o.i.MergeSchedulerConfig] [search01] Initialized index top_queries-2026.02.11-95552 with maxMergeCount=9, maxThreadCount=4, autoThrottleEnabled=true
search01               | [2026-02-11T15:40:03,798][INFO ][o.o.p.PluginsService     ] [search01] PluginService:onIndexModule index:[top_queries-2026.02.11-95552/NADhd1YcQ7SOPEkJ-8ZSfw]
fess01                 | {"@timestamp":"2026-02-11T15:40:02.933Z","log.level": "INFO","message":"Successfully registered 2 regex pattern(s) with component: playwrightClient", "ecs.version": "1.2.0","service.name":"fess","event.dataset":"thumbnail","process.thread.name":"main","log.logger":"org.codelibs.fess.crawler.client.http.PlaywrightClientCreator"}
fess01                 | {"@timestamp":"2026-02-11T15:40:03.113Z","log.level": "INFO","message":"No thumbnail tasks to process.", "ecs.version": "1.2.0","service.name":"fess","event.dataset":"thumbnail","process.thread.name":"main","log.logger":"org.codelibs.fess.exec.ThumbnailGenerator"}
search01               | [2026-02-11T15:40:05,165][INFO ][a.d.p.j.LibUtils         ] [search01] Downloading https://publish.djl.ai/pytorch/2.5.1/cpu-precxx11/linux-x86_64/native/lib/libgomp-a34b3233.so.1.gz ...
search01               | [2026-02-11T15:40:05,682][INFO ][a.d.p.j.LibUtils         ] [search01] Downloading https://publish.djl.ai/pytorch/2.5.1/cpu-precxx11/linux-x86_64/native/lib/libc10.so.gz ...
search01               | [2026-02-11T15:40:06,201][INFO ][a.d.p.j.LibUtils         ] [search01] Downloading https://publish.djl.ai/pytorch/2.5.1/cpu-precxx11/linux-x86_64/native/lib/libtorch_cpu.so.gz ...
search01               | [2026-02-11T15:40:09,487][INFO ][a.d.p.j.LibUtils         ] [search01] Downloading https://publish.djl.ai/pytorch/2.5.1/cpu-precxx11/linux-x86_64/native/lib/libtorch.so.gz ...
search01               | [2026-02-11T15:40:10,022][INFO ][a.d.p.j.LibUtils         ] [search01] Downloading https://publish.djl.ai/pytorch/2.5.1/cpu-precxx11/linux-x86_64/native/lib/libstdc%2B%2B.so.6.gz ...
